name;description;type;value
Tiefe Hocke;Fersen am Boden, Oberkörper aufrecht, leicht links/rechts wiegen;time;1:00
Hüftrotation im Sitzen;Hände hinten abstützen, Knie abwechselnd zum Boden kippen;time;1:00
Fersensitz;Auf die Schienbeine setzen, Füße parallel, leicht zurücklehnen;time;1:00
Zehensitz;Auf die Zehen setzen, Gewicht nach vorn verlagern;time;1:00
Fußkreisen vorwärts;Rückenlage, Füße anziehen und volle Kreise ziehen;reps;15
Fußkreisen rückwärts;Gleiche Bewegung in die Gegenrichtung;reps;15
Füße anziehen/strecken;Volle Range of Motion, langsam und kontrolliert;reps;15
Hamstring-Dehnung;Knie zusammen und durchgestreckt, Zehen anziehen, nach vorn;time;1:00
Leistendehnung;Breite Grätsche, Wirbelsäule gerade, Hüfte nach vorn schieben;time;1:00
Gesäß rechts;Bein vor dem Körper ablegen, hinteres Bein lang, Gewicht vor;time;1:00
Gesäß links;Seite wechseln, gleiche Position;time;1:00
Hüftbeuger rechts;Ausfallschritt, Knie nach vorn schieben, Oberkörper aufrecht;time;1:00
Hüftbeuger links;Seite wechseln, gleiche Position;time;1:00
Seitdehnung rechts;Ein Bein gestreckt, zum gestreckten Bein rotieren, Fuß parallel;time;1:00
Seitdehnung links;Seite wechseln, gleiche Position;time;1:00
Wirbelsäulenrotation;Rückenlage, Arme lang, angewinkelte Beine zur Seite kippen;time;1:00
Katze-Kuh;Vierfüßler, Rücken runden und durchhängen lassen, mit dem Atem;time;1:00
Wade rechts;Bein durchgestreckt, Gewicht auf die Wade, Ferse zum Boden;time;0:30
Wade links;Seite wechseln, gleiche Position;time;0:30
Taubensitz Beinheben;Aufrichten, abstützen, hinteres Bein leicht anheben;reps;15
Taubensitz links;Seite wechseln, gleiche Bewegung;reps;15
Couch Stretch rechts;Knie an die Wand, langsam aufrichten, Schultern zur Wand;time;1:00
Couch Stretch links;Seite wechseln, gleiche Position;time;1:00
Klimmzüge;Voller Zug, Schultern aktiv, kontrolliert ablassen;reps;10
Schulterrotation Band;Arme außenrotieren, Ellbogen am Körper, Schulterblätter fest;reps;15
Hip Raises;Rückenlage, Fersen nah, Hüfte hoch drücken, Gesäß fest;reps;15
