name;description;type;value
Katze-Kuh;Vierfüßler, Rücken runden und durchhängen lassen, mit dem Atem;time;1:00
Brustwirbel-Rotation;Vierfüßler, Hand an den Kopf, Ellbogen zur Decke drehen;reps;10
Tiefe Hocke;Fersen am Boden, Oberkörper aufrecht, leicht links/rechts wiegen;time;1:00
Hüftrotation im Sitzen;Hände hinten abstützen, Knie abwechselnd zum Boden kippen;time;1:00
Kinn zurückziehen;Doppelkinn machen, Nacken lang, 5 Sek halten, nicht nicken;reps;10
Schulterblatt-Zug;An der Stange hängen, nur Schultern nach unten ziehen;reps;10
Dead Hang;Locker hängen, Schultern aktiv lassen, ruhig weiteratmen;time;1:00
Klimmzüge;2-3 Wiederholungen in Reserve lassen, nicht bis zum Versagen;reps;6
Klimmzüge Satz 2;Nach 1-2 Min Pause, gleiche Ausführung, Reserve behalten;reps;6
Face Pull Band;Band auf Kopfhöhe, zum Gesicht ziehen, Ellbogen hoch;reps;15
Rudern Kurzhantel;8 kg, vorgebeugt, Ellbogen eng am Rumpf nach hinten;reps;15
Rudern Satz 2;Zweiter Satz, letzte Wiederholungen sollen schwer sein;reps;15
Seitheben Kurzhantel;5-8 kg, bis Schulterhöhe, letzte Wdh soll schwer sein;reps;15
Y-Heben Bauchlage;Arme im Y, Daumen hoch, Brust und Arme vom Boden lösen;reps;12
Wall Angel;Rücken an der Wand, Arme wie Schneeengel hoch und runter;reps;12
Prone Cobra;Bauchlage, Brust heben, Daumen nach außen, Schultern fest;time;1:00
Hip Raise;Rückenlage, Hüfte hoch drücken, oben 2 Sek halten;reps;15
Bird Dog;Vierfüßler, gegenüberliegenden Arm und Bein lang strecken;reps;10
Side Plank rechts;Unterarm unter der Schulter, Hüfte hoch, Körper gerade;time;1:00
Side Plank links;Seite wechseln, gleiche Position;time;1:00
Brustdehnung Türrahmen;Unterarme am Rahmen, Ellbogen schulterhoch, Brust nach vorn;time;1:00
Hamstring-Dehnung;Knie zusammen und durchgestreckt, Zehen anziehen, nach vorn;time;1:00
Taubensitz rechts;Schienbein quer vor dem Körper, hinteres Bein lang, Brust vor;time;1:00
Taubensitz links;Seite wechseln, gleiche Position;time;1:00
Couch Stretch rechts;Knie an die Wand, langsam aufrichten, Schultern zur Wand;time;1:00
Couch Stretch links;Seite wechseln, gleiche Position;time;1:00
Herabschauender Hund;Hüfte hoch, Fersen abwechselnd zum Boden drücken, Knie lang;time;1:00
Soleus rechts;Ausfallschritt zur Wand, hinteres Knie beugen, Ferse unten;time;1:00
Soleus links;Seite wechseln, gleiche Position;time;1:00
